conversation_id,conversation_label,baseline_id,backend,mode,turn_index,speaker,SGI,SGI_clipped,Velocity,d_SGI,d_Velocity,phase,manifold_distance,on_manifold,top_symbol,symbol_confidence
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,8,AI,1.2413499920704887,1.2413499920704887,14.251067092846169,0.25738428061427876,-14.470110142381172,T,0.8664947520646181,1,clarity,0.21331402310395642
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,9,User,1.1707953927130395,1.1707953927130395,25.01796305066016,-0.07055459935744923,10.766895957813992,T,0.5084259634675072,1,introspection,0.25697681548136503
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,10,AI,2.767397036554504,2.767397036554504,29.099385026574726,1.5966016438414647,4.081421975914566,G,0.7240708321935194,1,introspection,0.25274008117786967
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,11,User,1.2097660913597952,1.2097660913597952,28.232221083612124,-1.557630945194709,-0.8671639429626019,T,0.40494160631500636,1,introspection,0.19260371708994783
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,12,AI,4.042797973677082,4.042797973677082,28.206242805210337,2.833031882317287,-0.025978278401787236,G,1.1440361561171695,1,introspection,0.21970383470913762
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,13,User,1.1464942533013391,1.1464942533013391,12.246321140962882,-2.896303720375743,-15.959921664247455,T,0.930301721759464,1,vulnerability,0.20703665632512183
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,14,AI,1.359998520327223,1.359998520327223,7.96896274176276,0.21350426702588376,-4.277358399200122,T,1.07836354983413,1,silence,0.2704649914866525
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,15,User,0.8342180613580907,0.8342180613580907,27.45698513515089,-0.5257804589691322,19.488022393388132,T,0.42788256555792514,1,relationship,0.19567975878882088
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,16,AI,1.440102471551238,1.440102471551238,21.286630687368426,0.6058844101931473,-6.170354447782465,T,0.647574586668061,1,introspection,0.20146710260854203
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,17,User,0.6894185757118289,0.6894185757118289,24.908221807981054,-0.7506838958394092,3.621591120612628,T,0.520138601470477,1,resourcefulness,0.19118558378210634
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,18,AI,1.2929389569332579,1.2929389569332579,19.261428694891354,0.603520381221429,-5.6467931130897,T,0.7035809507159985,1,fulfillment,0.1839479521620049
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,19,User,0.8521672890902079,0.8521672890902079,24.89867310538597,-0.44077166784305,5.637244410494617,T,0.511471415118703,1,conclusion,0.17839314092947792
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,20,AI,0.2354340059472308,0.2354340059472308,5.288473713739672,-0.616733283142977,-19.610199391646297,T,1.1907466685764914,1,introspection,0.24450104103786352
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,21,User,1.7399466324412822,1.7399466324412822,25.695518676381358,1.5045126264940514,20.407044962641685,G,0.5483174430509354,1,relationship,0.2799230696275686
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,22,AI,2.1023422642477803,2.1023422642477803,18.928073223397007,0.36239563180649803,-6.767445452984351,G,0.8067102087133244,1,introspection,0.24103068828073201
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,23,User,1.311760858030821,1.311760858030821,35.97580606977369,-0.7905814062169592,17.047732846376682,T,0.17878512339822553,1,purpose,0.20894285787572933
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,mistral-embed,centered,24,AI,1.0476832981448243,1.0476832981448243,13.46863507899849,-0.2640775598859968,-22.5071709907752,T,0.8884466569559621,1,introspection,0.2257676841803538
